program_id,program_name,program_type,contract_type,program_phase,BAC,AC,EV,PV,CPI,SPI,cost_variance,schedule_variance,subcontractor_delay_days,change_orders_count,material_cost_inflation_pct,supplier_risk_score,months_remaining,historical_rebaseline_count,final_eac,overrun_flag,risk_band
PRG-1000,Missile Program 1,Missile,Cost Plus,Deployment,354736653.9484947,118800818.27107947,123408804.85256222,121696792.47923848,1.03878749867672,1.0140678512427992,4607986.581482753,1712012.3733237386,93,8,5.954245316851239,37.07980242325812,7,0,368924102.92021936,1,Medium
PRG-1001,Sustainment Program 2,Sustainment,Fixed Price,Build,129074586.4566929,73298252.61520484,77798369.40361609,72142540.28513695,1.061394598477478,1.0783979756760016,4500116.788411245,5655829.118479133,19,12,4.899785649428551,97.06980243949033,18,4,130753741.39649807,0,Low
PRG-1002,ISR Program 3,ISR,Cost Plus,Design,94058956.19242296,67831509.57558441,75221977.0001838,61368156.586113445,1.1089533090276316,1.225749332956259,7390467.424599394,13853820.41407036,23,14,6.1651139240338875,18.94713590842857,15,2,89604341.80243589,0,Low
PRG-1003,Missile Program 4,Missile,Cost Plus,Test,229832921.05871874,187680206.274281,166323073.02778637,194509428.85681772,0.886204658069894,0.8550900283102477,-21357133.24649462,-28186355.82903135,52,12,5.262262169331919,28.83281039302441,11,3,285397418.4906287,1,High
PRG-1004,Sustainment Program 5,Sustainment,Cost Plus,Test,339128411.16417545,251014215.14666685,234957178.10756147,242949808.90042683,0.9360313636830356,0.9671017201905223,-16057037.039105386,-7992630.792865366,24,0,2.2598308088957078,66.84029617904716,7,3,370137857.34318465,1,High
PRG-1005,Avionics Program 6,Avionics,Fixed Price,Test,285718112.315838,169785381.77113092,134211619.83602436,158502552.5031235,0.7904780637530995,0.8467473723073295,-35573761.93510656,-24290932.667099133,118,3,5.493815080970998,85.34030732681661,4,1,400164776.4142102,1,High
PRG-1006,Sustainment Program 7,Sustainment,Cost Plus,Test,287375433.1238136,224009755.58892754,205679380.67131564,231098611.51041582,0.9181715328896242,0.8900069945337836,-18330374.917611897,-25419230.839100182,34,5,1.2498328044724651,9.004786077564175,8,3,330867423.2043625,1,High
PRG-1007,ISR Program 8,ISR,Cost Plus,Build,93109809.30232084,64856128.97788643,58989711.60898022,58266301.5668302,0.909547216872804,1.0124155819521217,-5866417.368906207,723410.0421500206,82,10,4.979938716087295,8.7649919316101,14,0,109242133.03240922,1,High
PRG-1008,Radar Program 9,Radar,Fixed Price,Build,485204661.12690747,379638514.1322224,354120318.2370446,338175460.91464466,0.9327829107288882,1.0471496579890058,-25518195.89517784,15944857.322399914,109,1,10.928626361982259,45.57762898336111,6,3,573917413.3534147,1,High
PRG-1009,Radar Program 10,Radar,Cost Plus,Design,431174856.36434025,331628988.74136424,307390767.67801607,326024557.85029256,0.9269116335235354,0.9428454399412668,-24238221.063348174,-18633790.172276497,16,9,8.14831261710302,8.44443211398891,28,2,495532411.1132748,1,High
PRG-1010,Missile Program 11,Missile,Cost Plus,Design,69633424.50682479,41686813.33663769,45627919.69674958,40481059.62568763,1.0945408402481112,1.1271424245969086,3941106.360111892,5146860.071061954,59,7,7.500070406295585,2.28038710296975,14,0,66623980.92749113,0,Low
PRG-1011,Sustainment Program 12,Sustainment,Fixed Price,Design,253595998.80231696,154393411.39398745,150439015.9819443,145609544.75397024,0.9743875378078656,1.0331672709789335,-3954395.4120431542,4829471.227974057,97,4,4.647258970768074,52.06724024715378,31,2,280455941.0886349,1,High
PRG-1012,Radar Program 13,Radar,Fixed Price,Design,285937348.89874375,94190264.5126777,82474831.04638574,93384926.92108776,0.8756194865052629,0.8831706975160853,-11715433.466291964,-10910095.874702021,99,11,9.455122411094226,10.774094595589656,27,3,359163927.8859823,1,High
PRG-1013,Sustainment Program 14,Sustainment,Cost Plus,Build,198042696.2539706,164037758.96119997,145637188.09748128,175151947.48169222,0.8878272235597232,0.8314905440186671,-18400570.86371869,-29514759.384210944,76,4,6.66562842154886,25.596509056760276,36,4,243542595.46441984,1,High
PRG-1014,Avionics Program 15,Avionics,Cost Plus,Deployment,448005087.8023587,350632146.57460576,380005252.7914168,334819749.5655018,1.0837718574972737,1.134954713049492,29373106.21681106,45185503.225915015,5,7,9.49213675322087,66.16612631677611,13,2,440605027.2542807,0,Low
PRG-1015,Radar Program 16,Radar,Fixed Price,Build,469670312.256214,179454991.19239873,190684980.9971335,154305078.05711013,1.0625783085224683,1.2357660771640888,11229989.804734766,36379902.94002336,90,2,7.593210706729279,87.45620408374644,4,0,471461854.04458964,0,Low
PRG-1016,Sustainment Program 17,Sustainment,Fixed Price,Build,89070801.22460037,22076465.181045324,18209100.16557314,21992381.557745546,0.8248195540474172,0.8279730923075057,-3867365.015472185,-3783281.3921724074,94,15,6.569629247826963,69.42624356428865,7,3,121340949.06566775,1,High
PRG-1017,Avionics Program 18,Avionics,Fixed Price,Test,374712321.87946004,118037923.42905244,129295349.78092423,108992716.35576302,1.0953712673422127,1.186275139330333,11257426.351871789,20302633.425161213,117,4,6.374424498866866,66.28642127635824,13,4,373450902.8626133,0,Low
PRG-1018,Sustainment Program 19,Sustainment,Cost Plus,Build,324308053.60692084,97449977.1345485,89897493.64855397,104390393.46403605,0.9224988685675434,0.8611663455366217,-7552483.485994533,-14492899.81548208,111,2,11.263255437602323,80.43609156129708,23,2,385522103.0409283,1,High
PRG-1019,Avionics Program 20,Avionics,Cost Plus,Design,418125735.1437134,307356262.1220287,295203905.97613436,300460451.8737275,0.9604616608036782,0.9825050323102015,-12152356.145894349,-5256545.897593141,112,13,7.634178730725982,41.25715692736803,7,1,484263046.2016972,1,High
PRG-1020,Missile Program 21,Missile,Fixed Price,Build,138962990.21665192,58326411.78903893,61687960.018290326,49424185.75287399,1.0576333795641295,1.2481330562882,3361548.2292513996,12263774.265416339,78,14,7.5387703013209695,14.617324419269828,5,0,141848249.44654486,1,Medium
PRG-1021,Sustainment Program 22,Sustainment,Cost Plus,Deployment,99455226.91293351,40871699.771516815,33484819.392749194,33739526.21000498,0.8192666216462208,0.992450788559673,-7386880.378767621,-254706.81725578383,85,0,2.9210561802943795,5.338193262717539,17,2,130314062.93999158,1,High
PRG-1022,Sustainment Program 23,Sustainment,Cost Plus,Build,440002372.2726121,327609938.3415009,275752384.0505499,288805742.32257694,0.8417094592628183,0.9548022897084668,-51857554.290950954,-13053358.272027016,47,3,7.2835591691705,41.62624257031923,11,1,552211734.9638952,1,High
PRG-1023,Missile Program 24,Missile,Fixed Price,Design,463924097.1286698,153887348.58055365,167260477.5551853,165380944.87956098,1.0869020689353899,1.0113648684072587,13373128.974631637,1879532.675624311,38,12,9.574252948484618,64.24832759955477,23,3,468862525.08221966,0,Low
PRG-1024,Sustainment Program 25,Sustainment,Cost Plus,Deployment,242143695.48488763,123851685.3810317,107824971.12520298,106059125.85996181,0.8705975279502877,1.0166496305803308,-16026714.255828723,1765845.265241176,64,6,5.585783054543735,23.25699405288737,19,1,300182085.6400789,1,High
PRG-1025,Radar Program 26,Radar,Cost Plus,Build,349156805.8188538,165773570.0905485,180951520.76967198,156662109.50845024,1.0915583266429807,1.1550433052218767,15177950.679123491,24289411.261221737,93,5,6.889782688130035,84.85604887736245,19,3,350292316.53917146,0,Low
PRG-1026,Avionics Program 27,Avionics,Fixed Price,Build,372748717.9089396,146660005.75572246,157314046.0844737,125298497.46823026,1.0726444832308042,1.2555142261331669,10654040.328751236,32015548.616243437,64,15,2.0460532305292807,72.57156282714269,23,2,368465168.3204653,0,Low
PRG-1027,Missile Program 28,Missile,Cost Plus,Deployment,404424404.52084637,268799995.7592182,282331130.91008353,286531934.845644,1.0503390452542494,0.9853391422571328,13531135.150865316,-4200803.935560465,10,4,7.490834848941401,9.504919756440122,20,3,401123975.6981756,0,Low
PRG-1028,Missile Program 29,Missile,Cost Plus,Build,270863252.2462989,211894804.35411364,200734748.56725383,206786930.66606852,0.9473320932956459,0.9707322794563448,-11160055.78685981,-6052182.098814696,68,2,2.317069473512351,11.71035659001105,34,3,304667350.34809774,1,High
PRG-1029,Missile Program 30,Missile,Cost Plus,Test,342191078.38812447,169939568.9624346,176611554.4843824,151303840.27356014,1.0392609300040219,1.167264189494896,6671985.521947801,25307714.210822254,96,5,4.458839782246892,15.761164862499966,35,0,356438894.22661066,1,Medium
PRG-1030,Avionics Program 31,Avionics,Cost Plus,Test,285436671.32139194,256034639.21124193,241436991.1405909,235002280.27488142,0.9429856518023438,1.0273814826740524,-14597648.070651025,6434710.865709484,52,10,8.895362596040078,95.11946600038411,36,2,339487384.63704264,1,High
PRG-1031,Missile Program 32,Missile,Fixed Price,Design,302363839.9852259,194013445.08282205,181299376.76417515,200727061.67950177,0.9344681070261939,0.9032134244741421,-12714068.318646908,-19427684.915326625,52,4,6.044028899784062,44.23141270678932,3,1,353609130.15733176,1,High
PRG-1032,ISR Program 33,ISR,Cost Plus,Deployment,442016011.6677177,202427295.71664634,165217644.79535702,218574360.35682833,0.8161826408362702,0.755887582265527,-37209650.921289325,-53356715.56147131,94,0,8.151375171146768,9.044072698413274,25,3,601216688.2593468,1,High
PRG-1033,Sustainment Program 34,Sustainment,Cost Plus,Design,392848611.5322649,158601965.36834145,159098623.19953567,131544835.61099133,1.0031314733713468,1.209463088843923,496657.831194222,27553787.58854434,0,0,1.5682370871583882,60.592517764772765,36,4,394219868.1148083,0,Low
PRG-1034,Radar Program 35,Radar,Cost Plus,Test,465341806.48269457,360967615.0355122,384399204.8591896,299761707.22702104,1.0649132743428305,1.2823492647380386,23431589.82367742,84637497.63216859,102,7,2.3741604723620737,50.453099019298655,9,2,467611247.4405196,0,Low
PRG-1035,ISR Program 36,ISR,Fixed Price,Design,372618124.1288775,134777838.43392694,137657716.98030925,144866396.86994162,1.0213675970756433,0.9502391165557587,2879878.546382308,-7208679.889632374,90,9,1.5995034649042514,61.63089699275328,3,0,396186106.84875846,1,High
PRG-1036,Avionics Program 37,Avionics,Cost Plus,Design,108095949.8625531,95247284.3266168,99684619.32215863,93862976.38805403,1.0465875224360788,1.062022782124833,4437334.995541841,5821642.9341046065,85,13,2.5964328013155464,94.60244535580951,22,2,109549983.27436104,0,Low
PRG-1037,Radar Program 38,Radar,Fixed Price,Test,471485316.6538488,163581076.08565253,150064648.68722406,154303390.45411775,0.9173716928518605,0.9725298209299291,-13516427.39842847,-4238741.766893685,15,1,2.4750407086004187,27.80755457812574,6,1,530858787.73554146,1,High
PRG-1038,ISR Program 39,ISR,Fixed Price,Build,216215892.52577463,85835430.41685386,76204172.37325269,71189807.90476923,0.8877939098478609,1.0704365500633348,-9631258.04360117,5014364.468483463,73,4,6.215459425991874,22.5592868204211,17,0,265257404.78544062,1,High
PRG-1039,Avionics Program 40,Avionics,Fixed Price,Test,333167867.1300951,158750844.41020757,153465884.4038164,147982573.1388414,0.966709090423891,1.03705376348491,-5284960.006391168,5483311.264975011,64,10,4.967230678952797,51.27392446067582,30,3,374145858.9674102,1,High
PRG-1040,Missile Program 41,Missile,Cost Plus,Build,403937797.16664153,193454542.71121886,183396485.04369366,164460107.52603722,0.948008159815924,1.1151426799028357,-10058057.667525202,18936377.517656446,111,0,10.261925321434095,5.55679169068779,5,0,462417137.0908036,1,High
PRG-1041,Radar Program 42,Radar,Cost Plus,Build,376492432.0280411,102831522.63104004,110155834.39227636,94274706.89841427,1.0712263280153498,1.1684558670755116,7324311.761236325,15881127.493862092,85,2,7.609244487395889,11.967255586489433,20,1,368323718.5135752,0,Low
PRG-1042,Missile Program 43,Missile,Fixed Price,Build,350079223.5997244,243584990.19924867,243073981.95873702,200419096.2204118,0.9979021357592943,1.2128284506952136,-511008.2405116558,42654885.73832521,120,10,6.775971332639873,16.37513042582959,10,3,392573195.45315826,1,High
PRG-1043,Missile Program 44,Missile,Fixed Price,Build,422753470.82322246,356152736.972452,332078061.5172996,328397364.5914408,0.9324035085064795,1.0112080586591734,-24074675.455152392,3680696.9258587956,39,1,9.308631900742188,43.3779027322593,19,2,487263523.1225722,1,High
PRG-1044,Radar Program 45,Radar,Fixed Price,Design,131769096.77297899,57866230.826909184,56673686.43964946,54871965.49593107,0.9793913588250306,1.0328349992101522,-1192544.3872597218,1801720.9437183961,21,0,3.6803419946128493,84.35883847625412,5,4,141844542.2063011,1,High
PRG-1045,ISR Program 46,ISR,Fixed Price,Test,47892071.226294726,23533379.371273465,21064144.349108342,24464465.92542841,0.8950752043210909,0.8610097769276963,-2469235.0221651234,-3400321.576320067,40,7,9.45490348405317,85.20155168811691,15,2,59278577.058833875,1,High
PRG-1046,Radar Program 47,Radar,Fixed Price,Build,259432140.09511292,144707324.79069084,132480692.12809616,153173831.26478115,0.9155078522785238,0.8649042139520936,-12226632.662594676,-20693139.136684984,71,10,2.9525724068066426,33.8855635609605,24,1,307531134.6005915,1,High
PRG-1047,Missile Program 48,Missile,Fixed Price,Build,167616834.76197734,98665504.70121498,86285698.76534155,98940653.30090293,0.8745275162442767,0.8720955025728955,-12379805.935873434,-12654954.535561383,63,10,11.79986542296789,62.0357709658044,32,2,215342315.02912745,1,High
PRG-1048,ISR Program 49,ISR,Fixed Price,Deployment,395362481.9543251,301739698.3544446,310496362.73424983,281952532.8262375,1.029020591017888,1.1012362954214119,8756664.379805207,28543829.90801233,109,10,8.195126504305925,96.98151167055694,21,0,429820071.2192509,1,High
PRG-1049,Sustainment Program 50,Sustainment,Fixed Price,Test,186316573.43026343,57057494.51601225,59584951.14274858,54051815.98976483,1.0442966633599209,1.1023672387627363,2527456.626736328,5533135.152983747,105,15,6.114708018130184,97.79169790738402,11,2,196868182.75910294,1,High
PRG-1050,ISR Program 51,ISR,Cost Plus,Test,463856800.26554656,337013447.8824181,305576427.71468115,280618157.67946815,0.9067187960442898,1.0889403246090767,-31437020.167736948,24958270.035212994,10,5,8.428361915342325,71.32581963116982,6,3,545077425.1626838,1,High
PRG-1051,ISR Program 52,ISR,Fixed Price,Test,43502580.715174034,17848980.414495714,19129869.720153414,14657047.826783283,1.07176260357244,1.305165265627148,1280889.3056576997,4472821.893370131,115,8,8.450161393008369,2.9607289128613212,28,2,44352275.70480611,0,Low
